@relation 'wappu_data-weka.filters.unsupervised.attribute.Remove-R92-93,95-99-weka.filters.unsupervised.attribute.Remove-R2-7,9-26,28,30-33,35-82,86-91'

@attribute arrivalTime_total_abs numeric
@attribute charsDeleted_#searchForm_rel numeric
@attribute cursorSpeedX_total_abs numeric
@attribute cursorSpeedX_#searchForm_rel numeric
@attribute cursorSpeedY_#searchForm_rel numeric
@attribute scrollingMaxY_total_abs numeric
@attribute scrollingPixelAmount_total_abs numeric
@attribute scrollingSpeed_total_abs numeric
@attribute confusion {-1,0,1}

@data
69000,1,134.255431,0.154441,0.080199,798,1824,0.0285,1
130000,-1,200.727117,0.009597,0.00634,1824,3762,0.032713,1
108000,1,151.108388,1.460006,0.187456,84,84,0.000884,1
58000,1,257.132202,1.293817,0.185608,1824,4332,0.076,1
471000,-1,148.904148,0,0,3203,3203,0.006888,1
547000,1,248.48226,0.299461,0.153441,3378,19956,0.043667,1
78000,1,234.86797,0.230715,0.074932,1500,4400,0.112821,1
206000,-1,121.240726,2.94335,0.216655,2964,18924,0.095095,0
109000,-1,232.173252,0.40496,0.088454,3100,6800,0.113333,0
81000,-1,189.995143,5.614179,11.640556,700,1200,0.4,1
153000,-1,130.441189,4.041642,0.726539,3451,9866,0.079565,0
153000,-1,142.625195,2.620938,0.833925,3306,8322,0.059021,0
280000,-1,254.593707,2.040094,0.079974,3534,27474,0.099543,0
208000,1,367.076871,3.49935,1.010529,3078,9918,0.047683,0
134000,-1,231.095762,0,0,2964,6840,0.051429,0
301000,-1,150.371255,7.789001,1.064914,3785,13912,0.048474,-1
167000,1,151.549864,0.140315,0.010359,2052,10716,0.066559,1
115000,1,144.650697,0.795511,0.457174,2964,10488,0.101825,1
61000,-1,183.563975,0,0,1254,3876,0.070473,1
103000,-1,190.258922,0,0,1938,1938,0.0204,1
77000,-1,129.722469,0.057582,0.041139,1026,2722,0.036293,-1
392000,-1,130.921149,14.185201,23.957051,2166,6213,0.01635,-1
65000,-1,159.210816,2.223781,0.083799,1026,5481,0.089852,1
93000,-1,233.158954,0,0,647,647,0.012208,1
36000,-1,151.51142,0,0,456,456,0.114,1
37000,-1,141.625616,0.314369,0.044772,0,0,0,-1
56000,-1,145.430237,0.008406,0.121281,912,912,0.057,1
300000,1,239.990602,0.26342,0.181668,1598,5754,0.019439,1
9000,-1,1371.014493,0.971195,0.199468,0,0,0,1
174000,-1,115.532066,12.523579,9.566083,4018,23098,0.135076,-1
341000,1,97.560293,1.131521,0.382102,3572,20487,0.060792,0
141000,-1,266.532305,3.523735,0.882635,3822,11055,0.078964,0
168000,-1,303.918055,24.677705,21.48506,3882,7324,0.043856,-1
55000,-1,131.714178,5.101956,1.428789,4027,8966,0.194913,-1
287000,-1,251.439887,0.573619,0.247193,3372,12948,0.045273,-1
45000,-1,144.707393,13.216325,3.677024,0,0,0,0
243000,-1,238.957786,0,0,1596,2698,0.011289,-1
90000,-1,143.970279,0.007716,0.018753,213,213,0.002393,1
101000,-1,316.43021,0.78943,0.083954,2964,6156,0.071581,1
160000,-1,449.594288,0,0,3532,7862,0.051052,0
110000,-1,151.415224,0,0,3378,8166,0.074917,0
52000,-1,107.912916,0.046607,0.035029,887,2002,0.05005,0
81000,-1,128.459901,0,0,1482,3990,0.051154,0
70000,-1,182.432964,0.350854,0.188526,2964,6270,0.089571,0
65000,1,144.83705,0.041275,0.027662,456,1026,0.02183,1
427000,1,216.106858,1.094035,0.493641,2052,8436,0.023176,1
16000,-1,324.880839,0,0,0,0,0,1
