,informativeness,understandability,confusion,distraction,readability,infDensity,accessibility,usability
arrivalTime_total_abs,0.0939581603,-0.0328769621,-0.1435090155,-0.1844091735,-0.206147232,-0.1136313793,-0.1359934406,-0.1674042643
arrivalTime_.searchForm_abs,NA,NA,NA,NA,NA,NA,NA,NA
arrivalTime_.searchForm_rel,NA,NA,NA,NA,NA,NA,NA,NA
arrivalTime_.serpResults_abs,-0.1354077134,0.0518835746,0.1010252909,0.1073262093,-0.1022978817,-0.3347090136,-0.1047745495,-0.097478504
arrivalTime_.serpResults_rel,-0.2441600184,0.0616366282,0.2183629795,0.179589309,-0.004369084,-0.2727920281,-0.1179581219,-0.0442991288
charsDeleted_total_abs,0.1542110019,0.1462096533,0.3396670356,0.1259939487,-0.2052341092,-0.0095692669,-0.0724252293,0.1350340877
charsDeleted_.searchForm_abs,0.1542110019,0.1462096533,0.3396670356,0.1259939487,-0.2052341092,-0.0095692669,-0.0724252293,0.1350340877
charsDeleted_.searchForm_rel,0.0024916823,0.1348853961,0.40745385,0.0442604298,-0.1028465833,-0.036489506,-0.1295042496,0.0900430723
charsTyped_total_abs,-0.1623287449,0.1113661984,0.0353611545,-0.2130008132,0.1009333357,0.0169926054,-0.3077087621,-0.1071272167
charsTyped_.searchForm_abs,-0.1502656183,0.1181145751,0.1172382426,-0.2073190635,0.0396812881,-0.012293395,-0.236667426,-0.083374388
charsTyped_.searchForm_rel,-0.2599736904,0.0678166422,0.1615294856,-0.1856968073,-0.0295986228,-0.0604772841,-0.1656608934,-0.1198675757
clicks_total_abs,-0.0671412215,0.0036184869,0.0219877015,0.0542924036,0.1011531241,0.1699058334,-0.0546233721,0.0505284514
clicks_.serpResults_abs,0.1131943822,0.0243484566,-0.0014883263,0.1264295632,-0.0594662101,0.1912001724,-0.0145520064,0.0971250564
clicks_.serpResults_rel,0.1832954223,0.0494079892,0.0081114066,0.1252889066,-0.0865120886,0.1442018686,0.0036400794,0.1124473161
cursorMovementTime_total_abs,-0.0038463386,-0.1012893799,-0.3301039718,-0.177005283,-0.2272946433,-0.0433363128,-0.2470139293,-0.2721047923
cursorMovementTime_.searchForm_abs,0.099930385,0.180857696,0.1767741223,0.0899751092,-0.0152352331,0.1458669389,-0.0740593268,0.1538252071
cursorMovementTime_.searchForm_rel,0.036596495,0.1322995734,0.1321040108,0.1354900502,0.1142595357,0.1912846288,0.0152384584,0.1833268578
cursorMovementTime_.serpResults_abs,0.0863329698,-0.120579134,-0.2201118018,-0.1336337511,-0.3448253185,-0.0201859871,-0.1511591267,-0.2100890392
cursorMovementTime_.serpResults_rel,0.1623910537,-0.1461258472,-0.2188513184,-0.1301324684,-0.2900236686,-0.0119588804,-0.0956418931,-0.1666679666
cursorRangeX_total_abs,-0.0175426258,-0.0662063124,-0.0780324972,-0.20419792,-0.0850167424,-0.0316795521,-0.0529149942,-0.130019217
cursorRangeY_total_abs,0.1040791198,-0.047491736,-0.0048077524,-0.1778983842,0.2882190981,0.2681015252,-0.0169788532,0.0951830637
cursorSpeed_total_abs,0.1883866921,-0.0526456484,0.175739758,-0.0197662208,-0.1085119327,-0.0395632666,0.1568200227,0.0848876426
cursorSpeed_.searchForm_abs,-0.2110928281,-0.4557680742,-0.3398975972,-0.0867831444,-0.3304953975,-0.2861364843,-0.1945149306,-0.4625447368
cursorSpeed_.searchForm_rel,-0.1886727817,-0.4264848057,-0.4039060932,-0.0993384241,-0.2867229541,-0.3069164765,-0.1827761249,-0.4616962121
cursorSpeed_.serpResults_abs,0.1610434838,0.1555708383,0.1687842797,0.0080467058,-0.0332326529,-0.1108756905,0.1212710693,0.123338188
cursorSpeed_.serpResults_rel,0.0974721991,0.1309325304,0.1823525872,0.0308793429,-0.0355577683,-0.113804444,0.0867970535,0.0996272832
cursorSpeedX_total_abs,-0.0946959271,-0.2851197008,0.1531432956,0.0571574219,-0.3173770614,-0.2209389849,0.2080037654,-0.1142253641
cursorSpeedX_.searchForm_abs,-0.2524231895,-0.4645863129,-0.3737689177,-0.0810192857,-0.3773579496,-0.2670058016,-0.2215538769,-0.4958802184
cursorSpeedX_.searchForm_rel,-0.2700743382,-0.4753400352,-0.4894051956,-0.1005618319,-0.2983822618,-0.2298103748,-0.2388268298,-0.5165120289
cursorSpeedX_.serpResults_abs,0.0788878101,0.1759173872,0.2215081036,-0.0569899504,-0.0045025421,-0.1985870827,0.1272844958,0.0897319582
cursorSpeedX_.serpResults_rel,0.0749488123,0.1547716503,0.2035974191,0.0217535507,-0.0432728276,-0.1649687807,0.1116208613,0.0941817586
cursorSpeedY_total_abs,0.1893696537,-0.0666625636,0.1971347804,-0.034699197,-0.0908444424,0.0423472743,0.2230755035,0.1218149968
cursorSpeedY_.searchForm_abs,-0.0875815981,-0.311967104,-0.2627200851,-0.0343652779,-0.2464386391,-0.2548778821,-0.1657150849,-0.3277180079
cursorSpeedY_.searchForm_rel,-0.1444276431,-0.3839086359,-0.3785953564,-0.0823875578,-0.2700109247,-0.3379655288,-0.2438718745,-0.4456103105
cursorSpeedY_.serpResults_abs,0.180969011,0.1412454757,0.1513575745,0.104196946,-0.0964776194,-0.0473207627,0.1882154882,0.1609905763
cursorSpeedY_.serpResults_rel,0.1624092601,0.1427836133,0.1527953132,0.0976917551,-0.0910361517,-0.0427719264,0.1733356952,0.1537161644
cursorStops_total_abs,-0.0938899588,-0.1067287975,-0.2606308933,-0.2626654547,-0.0657652641,-0.0497485291,-0.3109379634,-0.2824128504
cursorStops_.searchForm_abs,-0.1285855087,0.0971023317,-0.054887573,-0.0849747333,0.1864401314,0.2141939177,-0.1398819488,0.0101486662
