@relation 'wappu_data-weka.filters.unsupervised.attribute.Remove-R2-23,27,30-33,38-39,43-51,54-75,77-83,85-94,96-99'

@attribute arrivalTime_total_abs numeric
@attribute cursorSpeed_#searchForm_rel numeric
@attribute cursorSpeed_#serpResults_abs numeric
@attribute cursorSpeed_#serpResults_rel numeric
@attribute cursorSpeedX_#searchForm_abs numeric
@attribute cursorSpeedX_#searchForm_rel numeric
@attribute cursorSpeedY_#searchForm_rel numeric
@attribute cursorSpeedY_#serpResults_abs numeric
@attribute cursorSpeedY_#serpResults_rel numeric
@attribute cursorStops_total_abs numeric
@attribute cursorStops_#serpResults_abs numeric
@attribute cursorStops_#serpResults_rel numeric
@attribute cursorTrail_total_abs numeric
@attribute cursorTrailY_total_abs numeric
@attribute cursorTrailY_#searchForm_abs numeric
@attribute maxHoverTime_#serpResults_abs numeric
@attribute scrollingPixelAmount_total_abs numeric
@attribute distraction {-1,0,1}

@data
69000,0.052646,1.221694,0.012239,20.734493,0.154441,0.080199,9.552239,0.128227,14,0,0,1524.220768,1135,34,6049,1824,1
130000,0.018274,265.157812,2.593526,1.926455,0.009597,0.00634,259.610028,1.815639,14,2,0.142857,2525.706438,3550,16,455,3762,1
108000,1.198756,161.817497,1.63907,220.619176,1.460006,0.187456,355.987055,2.242594,10,1,0.1,2148.261402,3315,99,1580,84,1
58000,0.604655,0,0,332.681974,1.293817,0.185608,0,0,7,0,0,1832.232251,2017,39,0,4332,1
471000,0,1744.320607,17.390238,0,0,0,14206.896552,86.975823,6,0,0,2761.947672,5010,0,25,3203,1
547000,0.181308,83.673206,0.885,74.410847,0.299461,0.153441,144.972686,0.842041,37,15,0.405405,13765.857516,23365,491,48079,19956,1
78000,0.223457,209.749421,2.462724,54.187545,0.230715,0.074932,292.957746,1.481491,10,0,0,3388.544299,6679,207,710,4400,-1
206000,0.649141,121.885955,1.688753,356.853933,2.94335,0.216655,381.60604,4.379911,26,3,0.115385,4139.455522,4825,42,3613,18924,0
109000,0.168549,187.656795,2.056877,94.020954,0.40496,0.088454,317.968534,1.557025,19,0,0,2733.221143,5926,200,3400,6800,1
81000,6.535732,120.341946,1.137009,1066.666667,5.614179,11.640556,173.884939,0.798994,10,0,0,2341.933255,4591,38,2944,1200,1
153000,0.809892,133.503816,1.484875,527.196653,4.041642,0.726539,105.960265,1.069723,17,3,0.176471,3260.8142,3840,86,22236,9866,0
153000,1.044286,90.622612,1.065144,373.811787,2.620938,0.833925,132.998172,1.341125,19,4,0.210526,2828.405834,3267,348,9966,8322,0
280000,0.60984,55.094296,0.506836,519.395135,2.040094,0.079974,87.00594,0.460151,26,11,0.423077,4469.12721,7601,46,43203,27474,0
208000,1.610668,83.037557,0.577727,1284.530387,3.49935,1.010529,64.137074,0.375393,26,19,0.730769,3885.898128,4666,250,67490,9918,0
134000,0,161.793521,1.283585,0,0,0,172.229709,1.022272,15,7,0.466667,5868.382847,8009,0,15584,6840,0
301000,1.831242,141.697566,1.700252,1171.24183,7.789001,1.064914,313.158731,1.78404,31,19,0.612903,8365.598341,17307,286,14054,13912,1
167000,0.118378,140.305694,1.369949,21.264793,0.140315,0.010359,162.877608,1.303529,17,2,0.117647,5107.533059,6057,14,144,10716,1
115000,0.743138,0,0,115.071283,0.795511,0.457174,0,0,12,0,0,3281.022947,3014,37,0,10488,1
61000,0,121.939093,1.101393,0,0,0,181.876745,1.126352,5,1,0.2,3230.227428,4549,0,2757,3876,1
103000,0,188.894277,1.499706,0,0,0,62.431544,0.360901,11,1,0.090909,4994.894024,6811,0,0,1938,1
77000,0.0749,303.700305,2.351414,7.469655,0.057582,0.041139,500,4.005477,13,0,0,6543.838553,5795,11,471,2722,-1
