@relation 'wappu_data-weka.filters.unsupervised.attribute.Remove-R92-96,98-99-weka.filters.unsupervised.attribute.Remove-R2-48,50-82,85-91'

@attribute arrivalTime_total_abs numeric
@attribute cursorTrailX_#searchForm_rel numeric
@attribute scrollingMaxY_total_abs numeric
@attribute scrollingPixelAmount_total_abs numeric
@attribute infDensity {-1,0,1}

@data
69000,0.054731,798,1824,0
130000,0.006836,1824,3762,0
108000,0.226473,84,84,0
58000,0.204505,1824,4332,0
471000,0,3203,3203,0
547000,0.040328,3378,19956,0
78000,0.102561,1500,4400,1
206000,0.116474,2964,18924,1
109000,0.155862,3100,6800,0
81000,0.003781,700,1200,0
153000,0.139597,3451,9866,0
153000,0.332769,3306,8322,0
280000,0.15313,3534,27474,0
208000,0.205094,3078,9918,0
134000,0,2964,6840,0
301000,0.116614,3785,13912,1
167000,0.030757,2052,10716,-1
115000,0.030271,2964,10488,-1
61000,0,1254,3876,-1
103000,0,1938,1938,-1
77000,0.002564,1026,2722,0
392000,0.003487,2166,6213,-1
65000,0.089401,1026,5481,-1
93000,0,647,647,1
36000,0,456,456,1
37000,0.2277,0,0,1
56000,0.000173,912,912,1
300000,0.0181,1598,5754,-1
9000,0.136111,0,0,-1
174000,0.057926,4018,23098,-1
341000,0.141961,3572,20487,0
141000,0.114781,3822,11055,0
168000,0.00554,3882,7324,-1
55000,0.1882,4027,8966,0
287000,0.002444,3372,12948,0
45000,0.034979,0,0,1
243000,0,1596,2698,0
90000,0.001246,213,213,0
101000,0.086169,2964,6156,0
160000,0,3532,7862,0
110000,0,3378,8166,0
52000,0.007997,887,2002,1
81000,0,1482,3990,0
70000,0.011737,2964,6270,0
65000,0.013403,456,1026,1
427000,0.022566,2052,8436,1
16000,0,0,0,1
