@relation 'wappu_data-weka.filters.unsupervised.attribute.Remove-R2-21,24-52,54-60,62-91,93-99'

@attribute arrivalTime_total_abs numeric
@attribute cursorSpeed_total_abs numeric
@attribute cursorSpeed_#searchForm_abs numeric
@attribute cursorTrailY_#searchForm_abs numeric
@attribute hovers_#serpResults_rel numeric
@attribute informativeness {-1,0,1}

@data
69000,99.819363,5.255134,34,0.5,1
130000,102.238362,1.868319,16,0.857143,0
108000,98.725196,118.347379,99,0.5,0
58000,118.865975,71.872936,39,0,-1
471000,100.304586,0,0,1,1
547000,94.545978,17.141933,491,0.68,1
78000,85.16968,19.031788,207,0.142857,-1
206000,72.175133,46.85182,42,0.333333,0
109000,91.233835,15.377334,200,0.5,0
81000,105.840792,691.747004,38,0.666667,1
153000,89.909118,72.816635,86,0.333333,-1
153000,85.080129,88.848018,348,0.166667,-1
280000,108.702496,66.291129,46,0.666667,-1
208000,143.731438,231.503585,250,0.444444,0
134000,126.048113,0,0,1,1
301000,83.339175,152.614162,286,0.83871,-1
167000,102.416751,12.123932,14,0.666667,1
115000,91.045841,67.659639,37,0,-1
61000,110.713529,0,0,1,0
103000,125.954209,0,0,1,1
77000,129.156473,9.673833,11,0.666667,0
392000,81.705623,733.056736,40,0.8,-1
65000,83.990065,68.552546,26,0.666667,-1
93000,107.633042,0,0,1,1
36000,95.176692,0,0,1,1
37000,94.660743,17.594614,38,0,1
56000,105.281937,5.467159,19,0.5,1
300000,84.497801,53.527069,75,0.8,-1
9000,159.431692,244.184568,10,0,-1
174000,49.077899,413.724715,143,0.727273,0
341000,42.003851,26.498486,274,0.571429,0
141000,109.808681,209.107842,167,0.625,0
168000,136.61556,1172.60394,28,0.8,-1
55000,63.739802,93.517975,131,0.333333,0
287000,115.028193,111.82352,16,0.928571,-1
45000,96.697898,546.865186,49,0,-1
243000,125.059884,0,0,1,1
90000,80.683897,2.402276,10,0,-1
101000,152.430012,77.157758,39,0.5,-1
160000,159.431159,0,0,1,1
110000,84.418494,0,0,-1,-1
52000,78.140799,7.024045,14,0.5,-1
81000,62.373624,0,0,1,-1
70000,96.785342,35.776521,27,0.5,-1
65000,85.957136,5.468709,23,0.666667,-1
427000,124.841405,101.340821,163,0.869565,0
16000,166.595272,0,0,1,0
