@relation 'wappu_data-weka.filters.unsupervised.attribute.Remove-R92-97,99-weka.filters.unsupervised.attribute.Remove-R1-5,7,11-42,45-47,50-53,55-64,66-75,77-81,83,85-91'

@attribute charsDeleted_total_abs numeric
@attribute charsDeleted_#searchForm_rel numeric
@attribute charsTyped_total_abs numeric
@attribute charsTyped_#searchForm_abs numeric
@attribute cursorTrail_#searchForm_abs numeric
@attribute cursorTrail_#searchForm_rel numeric
@attribute cursorTrailX_#searchForm_abs numeric
@attribute cursorTrailX_#searchForm_rel numeric
@attribute cursorTrailY_#searchForm_rel numeric
@attribute hoverTime_total_abs numeric
@attribute maxHoverTime_#serpResults_abs numeric
@attribute scrollingDirectionChanges_total_abs numeric
@attribute scrollingPixelAmount_total_abs numeric
@attribute accessibility {-1,0,1}

@data
3,1,29,20,29.906969,0.019621,118,0.054731,0.029956,12093,6049,3,1824,0
0,-1,47,38,32.973963,0.013055,34,0.006836,0.004507,18367,455,3,3762,0
10,1,36,27,393.741731,0.183284,734,0.226473,0.029864,6683,1580,1,84,0
2,1,17,9,147.1239,0.080298,681,0.204505,0.019336,1312,0,3,4332,0
0,-1,9,0,0,0,0,0,0,29,25,1,3203,1
11,1,35,33,318.599972,0.023144,1383,0.040328,0.021014,140723,48079,16,19956,0
3,1,31,29,265.874073,0.078463,757,0.102561,0.030993,15835,710,4,4400,-1
0,-1,28,19,104.245299,0.025183,794,0.116474,0.008705,7126,3613,13,18924,0
0,-1,23,21,170.257839,0.062292,1041,0.155862,0.03375,12373,3400,4,6800,0
0,-1,2,0,10.376205,0.004431,16,0.003781,0.008277,3109,2944,2,1200,1
0,-1,33,24,87.015879,0.026685,630,0.139597,0.022396,23431,22236,7,9866,0
0,-1,48,38,373.87246,0.132185,1573,0.332769,0.10652,18669,9966,5,8322,0
0,-1,21,13,201.657616,0.045122,1580,0.15313,0.006052,87945,43203,11,27474,0
2,1,26,17,335.217191,0.086265,1860,0.205094,0.053579,93786,67490,5,9918,0
0,-1,9,0,0,0,0,0,0,17792,15584,5,6840,0
0,-1,21,9,233.499667,0.027912,1792,0.116614,0.016525,27807,14054,11,13912,0
9,1,39,29,131.132445,0.025674,230,0.030757,0.002311,9896,144,11,10716,0
7,1,34,25,66.441766,0.02025,113,0.030271,0.012276,982,0,7,10488,0
0,-1,10,0,0,0,0,0,0,4169,2757,5,3876,1
0,-1,10,0,0,0,0,0,0,0,0,1,1938,1
0,-1,36,24,20.721349,0.003167,16,0.002564,0.001898,2678,471,7,2722,-1
0,-1,12,0,15.394191,0.002207,39,0.003487,0.005984,477.333333,343,5,6213,-1
0,-1,26,16,134.568647,0.036284,695,0.089401,0.003706,2081,60,8,5481,0
0,-1,9,0,0,0,0,0,0,3881,1863,1,647,1
0,-1,9,0,0,0,0,0,0,8452,7376,1,456,1
0,-1,32,22,229.996801,0.128106,582,0.2277,0.030719,13224,0,0,0,1
0,-1,11,0,4.472136,0.001181,1,0.000173,0.002853,818,0,1,912,1
1,1,30,28,186.274199,0.037372,220,0.0181,0.008274,4614,530,8,5754,0
0,-1,10,8,44.92996,0.052438,245,0.136111,0.005952,183,0,0,0,1
0,-1,35,33,132.391909,0.037213,463,0.057926,0.043098,69580,21104,19,23098,0
7,1,36,34,364.142198,0.079367,1517,0.141961,0.047978,103519,55843,15,20487,0
0,-1,21,19,247.583685,0.06262,1112,0.114781,0.028655,35679,22278,9,11055,0
0,-1,13,0,9.380832,0.001846,60,0.00554,0.004677,33661,25208,3,7324,-1
0,-1,11,0,140.276962,0.052544,1008,0.1882,0.051943,2880,870,7,8966,1
0,-1,11,0,46.518584,0.004138,60,0.002444,0.001062,99366,44144,11,12948,-1
0,-1,9,0,43.749215,0.014428,153,0.034979,0.009897,79,0,0,0,0
0,-1,11,0,0,0,0,0,0,2410,1789,4,2698,0
0,-1,19,17,12.974691,0.004154,6,0.001246,0.002222,5304,0,1,213,1
0,-1,18,10,192.431449,0.054834,623,0.086169,0.009253,6941,5238,3,6156,0
0,-1,9,0,0,0,0,0,0,0,0,5,7862,1
0,-1,11,0,0,0,0,0,0,0,0,7,8166,-1
0,-1,43,32,32.120956,0.016311,23,0.007997,0.007128,4635,935,3,2002,-1
0,-1,9,0,0,0,0,0,0,1418,1418,9,3990,-1
0,-1,26,16,38.56709,0.012083,69,0.011737,0.007139,1077,0,3,6270,-1
2,1,27,19,56.715981,0.021505,62,0.013403,0.009623,16505,6512,3,1026,0
14,1,41,32,141.877149,0.016703,331,0.022566,0.010292,112864,24348,10,8436,0
0,-1,9,0,0,0,0,0,0,354,354,0,0,0
