@relation 'wappu_data-weka.filters.unsupervised.attribute.Remove-R92-95,97-99-weka.filters.unsupervised.attribute.Remove-R2-48,50-82,84-85,87-88,90-91'

@attribute arrivalTime_total_abs numeric
@attribute cursorTrailX_#searchForm_rel numeric
@attribute scrollingMaxY_total_abs numeric
@attribute textSelections_total_abs numeric
@attribute textSelectionLength_total_abs numeric
@attribute readability {-1,0,1}

@data
69000,0.054731,798,0,0,0
130000,0.006836,1824,0,0,1
108000,0.226473,84,0,0,1
58000,0.204505,1824,0,0,1
471000,0,3203,0,0,0
547000,0.040328,3378,1,21,0
78000,0.102561,1500,1,12,1
206000,0.116474,2964,0,0,1
109000,0.155862,3100,1,5,0
81000,0.003781,700,0,0,1
153000,0.139597,3451,0,0,1
153000,0.332769,3306,0,0,1
280000,0.15313,3534,0,0,1
208000,0.205094,3078,0,0,1
134000,0,2964,0,0,1
301000,0.116614,3785,0,0,1
167000,0.030757,2052,0,0,0
115000,0.030271,2964,0,0,0
61000,0,1254,0,0,0
103000,0,1938,0,0,0
77000,0.002564,1026,0,0,1
392000,0.003487,2166,0,0,0
65000,0.089401,1026,0,0,0
93000,0,647,0,0,0
36000,0,456,0,0,1
37000,0.2277,0,0,0,1
56000,0.000173,912,0,0,1
300000,0.0181,1598,2,11,1
9000,0.136111,0,1,27,-1
174000,0.057926,4018,0,0,0
341000,0.141961,3572,1,11,-1
141000,0.114781,3822,1,8,-1
168000,0.00554,3882,0,0,-1
55000,0.1882,4027,0,0,1
287000,0.002444,3372,0,0,0
45000,0.034979,0,0,0,0
243000,0,1596,0,0,0
90000,0.001246,213,0,0,1
101000,0.086169,2964,0,0,1
160000,0,3532,0,0,1
110000,0,3378,0,0,1
52000,0.007997,887,0,0,1
81000,0,1482,0,0,1
70000,0.011737,2964,0,0,1
65000,0.013403,456,0,0,0
427000,0.022566,2052,0,0,0
16000,0,0,0,0,0
