@relation 'wappu_data-weka.filters.unsupervised.attribute.Remove-R1-22,24-27,30-55,57-60,62-64,66-67,70-72,74-81,83-92,94-99'

@attribute cursorSpeed_#searchForm_abs numeric
@attribute cursorSpeedX_#searchForm_abs numeric
@attribute cursorSpeedX_#searchForm_rel numeric
@attribute cursorTrailY_#serpResults_rel numeric
@attribute hovers_#serpResults_rel numeric
@attribute hoverTime_total_abs numeric
@attribute hoverTime_#serpResults_abs numeric
@attribute hoverTime_#serpResults_rel numeric
@attribute maxHoverTime_total_abs numeric
@attribute scrollingDirectionChanges_total_abs numeric
@attribute understandability {-1,0,1}

@data
5.255134,20.734493,0.154441,0.056388,0.5,12093,6700,0.55404,6049,3,1
1.868319,1.926455,0.009597,0.131268,0.857143,18367,1349,0.073447,17018,3,1
118.347379,220.619176,1.460006,0.033183,0.5,6683,1580,0.236421,5103,1,1
71.872936,332.681974,1.293817,0,0,1312,0,0,1312,3,1
0,0,0,0.082236,1,29,29,1,25,1,1
17.141933,74.410847,0.299461,0.565632,0.68,140723,122393,0.869744,48079,16,1
19.031788,54.187545,0.230715,0.031142,0.142857,15835,710,0.044837,11624,4,-1
46.85182,356.853933,2.94335,0.115233,0.333333,7126,3613,0.507017,3613,13,1
15.377334,94.020954,0.40496,0.194398,0.5,12373,3623,0.292815,8704,4,1
691.747004,1066.666667,5.614179,0.117186,0.666667,3109,3094,0.995175,2944,2,1
72.816635,527.196653,4.041642,0.079167,0.333333,23431,22236,0.948999,22236,7,0
88.848018,373.811787,2.620938,0.089073,0.166667,18669,9966,0.533826,9966,5,0
66.291129,519.395135,2.040094,0.312196,0.666667,87945,85903,0.976781,43203,11,0
231.503585,1284.530387,3.49935,0.265538,0.444444,93786,92338,0.984561,67490,5,0
0,0,0,0.414908,1,17792,17792,1,15584,5,0
152.614162,1171.24183,7.789001,0.626625,0.83871,27807,26637,0.957924,14054,11,0
12.123932,21.264793,0.140315,0.086346,0.666667,9896,288,0.029103,9608,11,1
67.659639,115.071283,0.795511,0,0,982,0,0,982,7,1
0,0,0,0.186195,1,4169,4169,1,2757,5,1
0,0,0,0.008369,1,0,0,-1,0,1,1
9.673833,7.469655,0.057582,0.060052,0.666667,2678,698,0.260642,1980,7,1
733.056736,1857.142857,14.185201,0.224267,0.8,477.333333,457.333333,0.958101,343,5,-1
68.552546,354.049924,2.223781,0.046614,0.666667,2081,118,0.056704,1963,8,0
0,0,0,0.253165,1,3881,3881,1,1863,1,1
0,0,0,0.12249,1,8452,8452,1,7376,1,1
17.594614,44.522644,0.314369,0,0,13224,0,0,10856,0,1
5.467159,1.222494,0.008406,0.18018,0.5,818,0,0,818,1,1
53.527069,63.218391,0.26342,0.120243,0.8,4614,1134,0.245774,3480,8,1
244.184568,1331.521739,0.971195,0,0,183,0,0,183,0,-1
413.724715,1446.875,12.523579,0.167872,0.727273,69580,67588,0.971371,21104,19,0
26.498486,110.391501,1.131521,0.360532,0.571429,103519,91338,0.882331,55843,15,0
209.107842,939.189189,3.523735,0.259952,0.625,35679,26049,0.730093,22278,9,0
1172.60394,7500,24.677705,0.146484,0.8,33661,33654,0.999792,25208,3,-1
93.517975,672,5.101956,0.031721,0.333333,2880,1436,0.498611,1167,7,1
111.82352,144.230769,0.573619,0.592297,0.928571,99366,98951,0.995824,44144,11,0
546.865186,1912.5,13.216325,0,0,79,0,0,79,0,-1
0,0,0,0.321019,1,2410,2410,1,1789,4,0
2.402276,1.110905,0.007716,0,0,5304,0,0,5304,1,1
77.157758,249.799519,0.78943,0.102017,0.5,6941,5238,0.754646,5238,3,0
0,0,0,0.05313,1,0,0,-1,0,5,1
0,0,0,0,-1,0,0,-1,0,7,-1
7.024045,5.029521,0.046607,0.154277,0.5,4635,935,0.201726,3700,3,0
0,0,0,0.06919,1,1418,1418,1,1418,9,0
35.776521,64.007421,0.350854,0.026441,0.5,1077,0,0,1077,3,0
5.468709,5.978208,0.041275,0.343096,0.666667,16505,6765,0.409876,9740,3,0
101.340821,236.428571,1.094035,0.817591,0.869565,112864,111465,0.987605,24348,10,0
0,0,0,0,1,354,354,1,354,0,0
